"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6323","TC05 - Login Failed with Empty Password","","Sun May 10 06:39:45 UTC 2026","failed","Sun May 10 06:39:51 UTC 2026","Login Test","Tests","",""
"","1234","TC02 - Login Failed with Invalid Username","","Sun May 10 06:39:41 UTC 2026","passed","Sun May 10 06:39:42 UTC 2026","Login Test","Tests","",""
"","6267","test01","","Sun May 10 06:39:33 UTC 2026","passed","Sun May 10 06:39:39 UTC 2026","01 Api Setup","Tests","",""
"","1486","TC01 - Login Success with Valid Credentials","","Sun May 10 06:39:39 UTC 2026","passed","Sun May 10 06:39:41 UTC 2026","Login Test","Tests","",""
"","1247","TC03 - Login Failed with Invalid Password","","Sun May 10 06:39:42 UTC 2026","passed","Sun May 10 06:39:43 UTC 2026","Login Test","Tests","",""
"","1483","TC04 - Login Failed with Empty Username","","Sun May 10 06:39:43 UTC 2026","passed","Sun May 10 06:39:45 UTC 2026","Login Test","Tests","",""
