"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7619","TC01 - Login Success with Valid Credentials","","Tue May 12 14:38:55 UTC 2026","passed","Tue May 12 14:39:03 UTC 2026","Login Test","Tests","",""
"","6266","TC05 - Login Failed with Empty Password","","Tue May 12 14:39:17 UTC 2026","failed","Tue May 12 14:39:23 UTC 2026","Login Test","Tests","",""
"","2086","TC01 - Register Success","","Tue May 12 14:39:23 UTC 2026","passed","Tue May 12 14:39:25 UTC 2026","Register Test","Tests","",""
"","6151","TC02 - Login Failed with Invalid Username","","Tue May 12 14:39:03 UTC 2026","failed","Tue May 12 14:39:09 UTC 2026","Login Test","Tests","",""
"","6379","TC03 - Login Failed with Invalid Password","","Tue May 12 14:39:09 UTC 2026","failed","Tue May 12 14:39:15 UTC 2026","Login Test","Tests","",""
"","1294","TC04 - Login Failed with Empty Username","","Tue May 12 14:39:15 UTC 2026","passed","Tue May 12 14:39:17 UTC 2026","Login Test","Tests","",""
